timestamp, system, entity , value (s/m)
1622104352.546, lauv-roald, SmartX, 2.947
1622104353.046, lauv-roald, SmartX, 2.972
1622104353.546, lauv-roald, SmartX, 2.996
1622104354.046, lauv-roald, SmartX, 2.994
1622104354.546, lauv-roald, SmartX, 2.999
1622104355.046, lauv-roald, SmartX, 2.995
1622104355.545, lauv-roald, SmartX, 2.994
1622104356.046, lauv-roald, SmartX, 2.966
1622104356.546, lauv-roald, SmartX, 2.910
1622104357.046, lauv-roald, SmartX, 2.784
1622104357.546, lauv-roald, SmartX, 2.839
1622104358.045, lauv-roald, SmartX, 2.895
1622104358.546, lauv-roald, SmartX, 2.954
1622104359.045, lauv-roald, SmartX, 2.994
1622104359.545, lauv-roald, SmartX, 3.003
1622104360.045, lauv-roald, SmartX, 3.004
1622104360.545, lauv-roald, SmartX, 3.001
1622104361.045, lauv-roald, SmartX, 3.004
1622104361.545, lauv-roald, SmartX, 3.011
1622104362.045, lauv-roald, SmartX, 2.998
1622104362.545, lauv-roald, SmartX, 2.941
1622104363.045, lauv-roald, SmartX, 2.950
1622104363.545, lauv-roald, SmartX, 2.988
1622104364.045, lauv-roald, SmartX, 3.000
1622104364.545, lauv-roald, SmartX, 2.956
1622104365.045, lauv-roald, SmartX, 2.854
1622104365.545, lauv-roald, SmartX, 2.645
1622104366.045, lauv-roald, SmartX, 2.796
1622104366.545, lauv-roald, SmartX, 2.826
1622104367.045, lauv-roald, SmartX, 2.866
1622104367.545, lauv-roald, SmartX, 2.965
1622104368.045, lauv-roald, SmartX, 3.023
1622104368.545, lauv-roald, SmartX, 2.963
1622104369.045, lauv-roald, SmartX, 2.623
1622104369.545, lauv-roald, SmartX, 2.458
1622104370.045, lauv-roald, SmartX, 2.438
1622104370.545, lauv-roald, SmartX, 2.684
1622104371.045, lauv-roald, SmartX, 2.849
1622104371.545, lauv-roald, SmartX, 2.923
1622104372.045, lauv-roald, SmartX, 2.755
1622104372.545, lauv-roald, SmartX, 2.553
1622104373.044, lauv-roald, SmartX, 2.438
1622104373.545, lauv-roald, SmartX, 2.633
1622104374.044, lauv-roald, SmartX, 2.876
1622104374.545, lauv-roald, SmartX, 2.948
