timestamp, system, entity , value (kg/m/m/m)
1622104374.545, lauv-roald, SmartX, 1019.290
1622104375.045, lauv-roald, SmartX, 1019.437
1622104375.544, lauv-roald, SmartX, 1018.963
1622104376.045, lauv-roald, SmartX, 1016.957
1622104376.545, lauv-roald, SmartX, 1016.111
1622104377.045, lauv-roald, SmartX, 1016.851
1622104377.545, lauv-roald, SmartX, 1017.737
1622104378.044, lauv-roald, SmartX, 1018.573
1622104378.544, lauv-roald, SmartX, 1019.300
1622104379.044, lauv-roald, SmartX, 1019.309
1622104379.544, lauv-roald, SmartX, 1018.312
1622104380.044, lauv-roald, SmartX, 1018.302
1622104380.544, lauv-roald, SmartX, 1019.060
1622104381.044, lauv-roald, SmartX, 1019.538
1622104381.544, lauv-roald, SmartX, 1019.666
1622104382.044, lauv-roald, SmartX, 1017.712
1622104382.544, lauv-roald, SmartX, 1016.342
1622104383.044, lauv-roald, SmartX, 1016.073
1622104383.544, lauv-roald, SmartX, 1017.535
1622104384.044, lauv-roald, SmartX, 1018.836
1622104384.544, lauv-roald, SmartX, 1019.363
1622104385.044, lauv-roald, SmartX, 1019.583
1622104385.544, lauv-roald, SmartX, 1019.446
1622104386.044, lauv-roald, SmartX, 1018.231
1622104386.544, lauv-roald, SmartX, 1016.712
1622104387.044, lauv-roald, SmartX, 1016.095
1622104387.544, lauv-roald, SmartX, 1015.771
1622104388.044, lauv-roald, SmartX, 1016.090
1622104388.544, lauv-roald, SmartX, 1017.956
1622104389.044, lauv-roald, SmartX, 1018.567
1622104389.545, lauv-roald, SmartX, 1018.118
1622104390.044, lauv-roald, SmartX, 1017.451
1622104390.544, lauv-roald, SmartX, 1018.276
1622104391.044, lauv-roald, SmartX, 1018.783
1622104391.544, lauv-roald, SmartX, 1019.041
1622104392.044, lauv-roald, SmartX, 1019.164
1622104392.543, lauv-roald, SmartX, 1018.059
1622104393.043, lauv-roald, SmartX, 1017.003
1622104393.543, lauv-roald, SmartX, 1017.146
1622104394.043, lauv-roald, SmartX, 1017.907
1622104394.543, lauv-roald, SmartX, 1019.108
1622104395.043, lauv-roald, SmartX, 1019.268
1622104395.543, lauv-roald, SmartX, 1017.392
1622104396.043, lauv-roald, SmartX, 1015.691
1622104396.543, lauv-roald, SmartX, 1015.286
1622104397.043, lauv-roald, SmartX, 1016.753
1622104397.543, lauv-roald, SmartX, 1018.166
1622104398.043, lauv-roald, SmartX, 1018.835
1622104398.543, lauv-roald, SmartX, 1019.078
1622104399.043, lauv-roald, SmartX, 1018.279
1622104399.543, lauv-roald, SmartX, 1018.074
1622104400.043, lauv-roald, SmartX, 1018.378
1622104400.543, lauv-roald, SmartX, 1019.038
1622104401.043, lauv-roald, SmartX, 1019.570
1622104401.543, lauv-roald, SmartX, 1019.580
1622104402.043, lauv-roald, SmartX, 1018.797
1622104402.543, lauv-roald, SmartX, 1017.180
1622104403.043, lauv-roald, SmartX, 1017.120
1622104403.543, lauv-roald, SmartX, 1018.484
1622104404.043, lauv-roald, SmartX, 1018.729
1622104404.542, lauv-roald, SmartX, 1018.103
1622104405.043, lauv-roald, SmartX, 1017.005
1622104405.543, lauv-roald, SmartX, 1016.749
1622104406.042, lauv-roald, SmartX, 1015.742
1622104406.543, lauv-roald, SmartX, 1015.432
1622104407.043, lauv-roald, SmartX, 1016.673
1622104407.542, lauv-roald, SmartX, 1018.324
1622104408.042, lauv-roald, SmartX, 1019.064
1622104408.543, lauv-roald, SmartX, 1019.293
1622104409.042, lauv-roald, SmartX, 1019.302
1622104409.542, lauv-roald, SmartX, 1018.008
1622104410.043, lauv-roald, SmartX, 1015.845
1622104410.542, lauv-roald, SmartX, 1015.260
1622104411.042, lauv-roald, SmartX, 1015.249
1622104411.542, lauv-roald, SmartX, 1017.704
1622104412.042, lauv-roald, SmartX, 1018.715
1622104412.542, lauv-roald, SmartX, 1018.729
1622104413.042, lauv-roald, SmartX, 1016.163
1622104413.542, lauv-roald, SmartX, 1015.448
1622104414.042, lauv-roald, SmartX, 1015.130
1622104414.542, lauv-roald, SmartX, 1016.283
1622104415.042, lauv-roald, SmartX, 1017.662
1622104415.542, lauv-roald, SmartX, 1018.783
1622104416.042, lauv-roald, SmartX, 1019.061
1622104416.542, lauv-roald, SmartX, 1018.975
1622104417.042, lauv-roald, SmartX, 1016.472
1622104417.542, lauv-roald, SmartX, 1015.791
1622104418.042, lauv-roald, SmartX, 1016.098
1622104418.542, lauv-roald, SmartX, 1018.019
1622104419.042, lauv-roald, SmartX, 1018.890
1622104419.542, lauv-roald, SmartX, 1017.348
1622104420.042, lauv-roald, SmartX, 1016.291
1622104420.542, lauv-roald, SmartX, 1015.386
1622104421.042, lauv-roald, SmartX, 1015.024
1622104421.542, lauv-roald, SmartX, 1014.749
1622104422.042, lauv-roald, SmartX, 1014.630
1622104422.542, lauv-roald, SmartX, 1014.474
1622104423.042, lauv-roald, SmartX, 1014.384
1622104423.541, lauv-roald, SmartX, 1014.389
1622104424.042, lauv-roald, SmartX, 1014.434
1622104424.541, lauv-roald, SmartX, 1014.461
1622104425.041, lauv-roald, SmartX, 1014.538
1622104425.541, lauv-roald, SmartX, 1014.570
1622104426.042, lauv-roald, SmartX, 1014.445
1622104426.541, lauv-roald, SmartX, 1014.350
1622104427.041, lauv-roald, SmartX, 1014.232
1622104427.541, lauv-roald, SmartX, 1014.294
1622104428.041, lauv-roald, SmartX, 1015.331
1622104428.541, lauv-roald, SmartX, 1016.205
1622104429.041, lauv-roald, SmartX, 1015.273
1622104429.541, lauv-roald, SmartX, 1014.984
1622104430.042, lauv-roald, SmartX, 1014.566
1622104430.541, lauv-roald, SmartX, 1014.397
1622104431.042, lauv-roald, SmartX, 1014.319
1622104431.541, lauv-roald, SmartX, 1014.318
1622104432.042, lauv-roald, SmartX, 1015.400
1622104432.541, lauv-roald, SmartX, 1017.281
1622104433.041, lauv-roald, SmartX, 1017.036
1622104433.541, lauv-roald, SmartX, 1015.394
1622104434.041, lauv-roald, SmartX, 1014.881
1622104434.541, lauv-roald, SmartX, 1014.622
1622104435.041, lauv-roald, SmartX, 1014.436
1622104435.541, lauv-roald, SmartX, 1014.463
1622104436.041, lauv-roald, SmartX, 1014.711
1622104436.541, lauv-roald, SmartX, 1015.828
1622104437.041, lauv-roald, SmartX, 1015.593
1622104437.541, lauv-roald, SmartX, 1015.193
1622104438.041, lauv-roald, SmartX, 1015.188
1622104438.540, lauv-roald, SmartX, 1016.852
1622104439.040, lauv-roald, SmartX, 1018.133
1622104439.540, lauv-roald, SmartX, 1018.631
1622104440.040, lauv-roald, SmartX, 1018.212
1622104440.540, lauv-roald, SmartX, 1016.832
1622104441.041, lauv-roald, SmartX, 1015.734
1622104441.540, lauv-roald, SmartX, 1015.117
1622104442.041, lauv-roald, SmartX, 1015.316
1622104442.540, lauv-roald, SmartX, 1017.393
1622104443.040, lauv-roald, SmartX, 1017.726
1622104443.541, lauv-roald, SmartX, 1016.523
1622104444.040, lauv-roald, SmartX, 1016.089
1622104444.541, lauv-roald, SmartX, 1015.303
1622104445.040, lauv-roald, SmartX, 1014.419
1622104445.540, lauv-roald, SmartX, 1014.366
1622104446.041, lauv-roald, SmartX, 1014.340
1622104446.540, lauv-roald, SmartX, 1014.509
1622104447.040, lauv-roald, SmartX, 1015.144
1622104447.540, lauv-roald, SmartX, 1015.144
1622104448.040, lauv-roald, SmartX, 1015.049
1622104448.540, lauv-roald, SmartX, 1015.074
1622104449.040, lauv-roald, SmartX, 1015.508
1622104449.540, lauv-roald, SmartX, 1015.439
1622104450.041, lauv-roald, SmartX, 1015.224
1622104450.540, lauv-roald, SmartX, 1015.096
1622104451.040, lauv-roald, SmartX, 1014.594
1622104451.540, lauv-roald, SmartX, 1014.395
1622104452.040, lauv-roald, SmartX, 1014.483
1622104452.540, lauv-roald, SmartX, 1014.676
1622104453.040, lauv-roald, SmartX, 1014.959
1622104453.539, lauv-roald, SmartX, 1014.930
1622104454.039, lauv-roald, SmartX, 1014.884
1622104454.540, lauv-roald, SmartX, 1015.016
1622104455.041, lauv-roald, SmartX, 1015.081
1622104455.539, lauv-roald, SmartX, 1015.715
1622104456.039, lauv-roald, SmartX, 1015.645
1622104456.539, lauv-roald, SmartX, 1015.675
1622104457.039, lauv-roald, SmartX, 1015.265
1622104457.541, lauv-roald, SmartX, 1014.588
1622104458.039, lauv-roald, SmartX, 1013.937
1622104458.539, lauv-roald, SmartX, 1013.713
1622104459.039, lauv-roald, SmartX, 1013.872
1622104459.539, lauv-roald, SmartX, 1014.904
1622104460.039, lauv-roald, SmartX, 1017.057
1622104460.539, lauv-roald, SmartX, 1018.087
1622104461.039, lauv-roald, SmartX, 1018.820
1622104461.539, lauv-roald, SmartX, 1017.186
1622104462.039, lauv-roald, SmartX, 1015.962
1622104462.539, lauv-roald, SmartX, 1013.916
1622104463.039, lauv-roald, SmartX, 1013.475
1622104463.539, lauv-roald, SmartX, 1013.849
1622104464.039, lauv-roald, SmartX, 1015.273
1622104464.539, lauv-roald, SmartX, 1017.320
1622104465.038, lauv-roald, SmartX, 1017.701
