timestamp, system, entity , value (m)
1622104219.055, lauv-roald, SmartX, 0.497
1622104219.150, lauv-roald, DVL, 0.082
1622104219.348, lauv-roald, DVL, 0.071
1622104219.548, lauv-roald, DVL, 0.065
1622104219.555, lauv-roald, SmartX, 0.507
1622104219.948, lauv-roald, DVL, 0.074
1622104220.056, lauv-roald, SmartX, 0.497
1622104220.148, lauv-roald, DVL, 0.063
1622104220.347, lauv-roald, DVL, 0.078
1622104220.555, lauv-roald, SmartX, 0.478
1622104220.749, lauv-roald, DVL, 0.066
1622104220.948, lauv-roald, DVL, 0.079
1622104221.055, lauv-roald, SmartX, 0.458
1622104221.146, lauv-roald, DVL, 0.077
1622104221.548, lauv-roald, DVL, 0.082
1622104221.555, lauv-roald, SmartX, 0.507
1622104221.749, lauv-roald, DVL, 0.101
1622104221.949, lauv-roald, DVL, 0.120
1622104222.055, lauv-roald, SmartX, 0.557
1622104222.349, lauv-roald, DVL, 0.150
1622104222.550, lauv-roald, DVL, 0.153
1622104222.555, lauv-roald, SmartX, 0.587
1622104222.747, lauv-roald, DVL, 0.153
1622104223.055, lauv-roald, SmartX, 0.557
1622104223.149, lauv-roald, DVL, 0.145
1622104223.348, lauv-roald, DVL, 0.132
1622104223.547, lauv-roald, DVL, 0.118
1622104223.555, lauv-roald, SmartX, 0.497
1622104223.948, lauv-roald, DVL, 0.095
1622104224.055, lauv-roald, SmartX, 0.517
1622104224.148, lauv-roald, DVL, 0.087
1622104224.348, lauv-roald, DVL, 0.086
1622104224.555, lauv-roald, SmartX, 0.497
1622104224.749, lauv-roald, DVL, 0.080
1622104224.947, lauv-roald, DVL, 0.077
1622104225.055, lauv-roald, SmartX, 0.478
1622104225.145, lauv-roald, DVL, 0.083
1622104225.549, lauv-roald, DVL, 0.064
1622104225.555, lauv-roald, SmartX, 0.458
1622104225.746, lauv-roald, DVL, 0.070
1622104225.950, lauv-roald, DVL, 0.064
1622104226.055, lauv-roald, SmartX, 0.438
1622104226.349, lauv-roald, DVL, 0.048
1622104226.549, lauv-roald, DVL, 0.052
1622104226.555, lauv-roald, SmartX, 0.448
1622104226.747, lauv-roald, DVL, 0.070
1622104227.055, lauv-roald, SmartX, 0.478
1622104227.145, lauv-roald, DVL, 0.055
1622104227.348, lauv-roald, DVL, 0.078
1622104227.548, lauv-roald, DVL, 0.086
1622104227.555, lauv-roald, SmartX, 0.557
1622104227.948, lauv-roald, DVL, 0.107
1622104228.055, lauv-roald, SmartX, 0.517
1622104228.148, lauv-roald, DVL, 0.116
