[rosmaster.master][INFO] 2021-11-05 12:48:59,267: +SUB [/Vehicle/Out/EstimatedState_filtered] /douro_river http://raspberrypi:37491/
[rosmaster.master][INFO] 2021-11-05 12:49:02,033: +CACHEDPARAM [/rosout_disable_topics_generation] by /douro_river
[rosmaster.master][INFO] 2021-11-05 12:49:02,037: +CACHEDPARAM [/rosout_disable_topics_generation] by /douro_river
[rosmaster.master][INFO] 2021-11-05 12:49:02,041: +CACHEDPARAM [/rosout_disable_topics_generation] by /douro_river
[rosmaster.master][INFO] 2021-11-05 12:55:07,116: +CACHEDPARAM [/rosout_disable_topics_generation] by /douro_river
[rosmaster.master][INFO] 2021-11-05 12:56:06,782: +CACHEDPARAM [/rosout_disable_topics_generation] by /douro_river
[rosmaster.master][INFO] 2021-11-05 12:56:06,789: +CACHEDPARAM [/rosout_disable_topics_generation] by /douro_river
[rosmaster.master][INFO] 2021-11-05 12:56:07,279: +CACHEDPARAM [/rosout_disable_topics_generation] by /douro_river
[rosmaster.master][INFO] 2021-11-05 12:56:07,782: +CACHEDPARAM [/rosout_disable_topics_generation] by /douro_river
[rosmaster.master][INFO] 2021-11-05 12:56:08,277: +CACHEDPARAM [/rosout_disable_topics_generation] by /douro_river
[rosmaster.master][INFO] 2021-11-05 12:56:08,780: +CACHEDPARAM [/rosout_disable_topics_generation] by /douro_river
[rosmaster.master][INFO] 2021-11-05 12:56:09,282: +CACHEDPARAM [/rosout_disable_topics_generation] by /douro_river
[rosmaster.master][INFO] 2021-11-05 12:56:09,781: +CACHEDPARAM [/rosout_disable_topics_generation] by /douro_river
[rosmaster.master][INFO] 2021-11-05 12:56:10,277: +CACHEDPARAM [/rosout_disable_topics_generation] by /douro_river
[rosmaster.master][INFO] 2021-11-05 12:56:10,781: +CACHEDPARAM [/rosout_disable_topics_generation] by /douro_river
[rosmaster.master][INFO] 2021-11-05 12:56:11,278: +CACHEDPARAM [/rosout_disable_topics_generation] by /douro_river
[rosmaster.master][INFO] 2021-11-05 12:56:11,781: +CACHEDPARAM [/rosout_disable_topics_generation] by /douro_river
[rosmaster.master][INFO] 2021-11-05 13:03:13,056: +CACHEDPARAM [/rosout_disable_topics_generation] by /douro_river
[rosmaster.master][INFO] 2021-11-05 13:11:23,055: +CACHEDPARAM [/rosout_disable_topics_generation] by /douro_river
[rosmaster.master][INFO] 2021-11-05 13:19:08,045: +CACHEDPARAM [/rosout_disable_topics_generation] by /douro_river
[rosmaster.master][INFO] 2021-11-05 13:26:56,045: +CACHEDPARAM [/rosout_disable_topics_generation] by /douro_river
[rosmaster.master][INFO] 2021-11-05 13:34:30,044: +CACHEDPARAM [/rosout_disable_topics_generation] by /douro_river
[rosmaster.master][INFO] 2021-11-05 13:35:48,366: +CACHEDPARAM [/rosout_disable_topics_generation] by /douro_river
[rosmaster.master][INFO] 2021-11-05 13:35:48,373: +CACHEDPARAM [/rosout_disable_topics_generation] by /douro_river
[rosmaster.master][INFO] 2021-11-05 13:35:48,863: +CACHEDPARAM [/rosout_disable_topics_generation] by /douro_river
[rosmaster.master][INFO] 2021-11-05 13:35:49,362: +CACHEDPARAM [/rosout_disable_topics_generation] by /douro_river
[rosmaster.master][INFO] 2021-11-05 13:35:49,865: +CACHEDPARAM [/rosout_disable_topics_generation] by /douro_river
[rosmaster.master][INFO] 2021-11-05 13:35:50,361: +CACHEDPARAM [/rosout_disable_topics_generation] by /douro_river
