timestamp, system, entity , value (psu)
1623929001.599, lauv-roald, SmartX, 17.458
1623929002.099, lauv-roald, SmartX, 17.473
1623929002.599, lauv-roald, SmartX, 17.461
1623929003.099, lauv-roald, SmartX, 17.446
1623929003.599, lauv-roald, SmartX, 17.452
1623929004.098, lauv-roald, SmartX, 17.467
1623929004.599, lauv-roald, SmartX, 17.459
1623929005.099, lauv-roald, SmartX, 17.435
1623929005.599, lauv-roald, SmartX, 17.442
1623929006.098, lauv-roald, SmartX, 17.416
1623929006.599, lauv-roald, SmartX, 17.431
1623929007.098, lauv-roald, SmartX, 17.427
1623929007.598, lauv-roald, SmartX, 17.403
1623929008.098, lauv-roald, SmartX, 17.383
1623929008.598, lauv-roald, SmartX, 17.381
1623929009.098, lauv-roald, SmartX, 17.386
1623929009.598, lauv-roald, SmartX, 17.391
1623929010.098, lauv-roald, SmartX, 17.394
1623929010.598, lauv-roald, SmartX, 17.370
1623929011.098, lauv-roald, SmartX, 17.344
1623929011.598, lauv-roald, SmartX, 17.336
1623929012.098, lauv-roald, SmartX, 17.336
1623929012.598, lauv-roald, SmartX, 17.326
1623929013.098, lauv-roald, SmartX, 17.330
1623929013.598, lauv-roald, SmartX, 17.318
1623929014.098, lauv-roald, SmartX, 17.357
1623929014.598, lauv-roald, SmartX, 17.401
1623929015.098, lauv-roald, SmartX, 17.347
1623929015.598, lauv-roald, SmartX, 17.337
1623929016.098, lauv-roald, SmartX, 17.377
1623929016.598, lauv-roald, SmartX, 17.348
1623929017.098, lauv-roald, SmartX, 17.320
1623929017.598, lauv-roald, SmartX, 17.336
1623929018.098, lauv-roald, SmartX, 17.362
1623929018.597, lauv-roald, SmartX, 17.349
1623929019.098, lauv-roald, SmartX, 17.316
1623929019.597, lauv-roald, SmartX, 17.328
1623929020.098, lauv-roald, SmartX, 17.346
1623929020.598, lauv-roald, SmartX, 17.305
1623929021.098, lauv-roald, SmartX, 17.319
1623929021.597, lauv-roald, SmartX, 17.370
1623929022.097, lauv-roald, SmartX, 17.308
1623929022.597, lauv-roald, SmartX, 17.294
1623929023.097, lauv-roald, SmartX, 17.375
1623929023.597, lauv-roald, SmartX, 17.305
1623929024.097, lauv-roald, SmartX, 17.336
1623929024.597, lauv-roald, SmartX, 17.410
1623929025.097, lauv-roald, SmartX, 17.317
1623929025.597, lauv-roald, SmartX, 17.371
1623929026.097, lauv-roald, SmartX, 17.326
1623929026.597, lauv-roald, SmartX, 17.245
1623929027.097, lauv-roald, SmartX, 17.156
1623929027.597, lauv-roald, SmartX, 17.355
1623929028.097, lauv-roald, SmartX, 17.453
1623929028.597, lauv-roald, SmartX, 17.524
1623929029.097, lauv-roald, SmartX, 17.553
1623929029.597, lauv-roald, SmartX, 17.634
1623929030.097, lauv-roald, SmartX, 17.615
1623929030.597, lauv-roald, SmartX, 17.632
1623929031.097, lauv-roald, SmartX, 17.597
1623929031.597, lauv-roald, SmartX, 17.597
1623929032.097, lauv-roald, SmartX, 17.620
1623929032.597, lauv-roald, SmartX, 17.638
1623929033.097, lauv-roald, SmartX, 17.648
1623929033.597, lauv-roald, SmartX, 17.676
1623929034.097, lauv-roald, SmartX, 17.700
1623929034.596, lauv-roald, SmartX, 17.751
1623929035.097, lauv-roald, SmartX, 17.747
1623929035.596, lauv-roald, SmartX, 17.872
1623929036.096, lauv-roald, SmartX, 17.935
1623929036.596, lauv-roald, SmartX, 18.143
1623929037.096, lauv-roald, SmartX, 18.287
1623929037.596, lauv-roald, SmartX, 18.351
1623929038.096, lauv-roald, SmartX, 18.357
1623929038.596, lauv-roald, SmartX, 18.335
1623929039.096, lauv-roald, SmartX, 18.366
1623929039.596, lauv-roald, SmartX, 18.401
1623929040.096, lauv-roald, SmartX, 18.415
1623929040.596, lauv-roald, SmartX, 18.415
1623929041.096, lauv-roald, SmartX, 18.451
1623929041.596, lauv-roald, SmartX, 18.475
1623929042.096, lauv-roald, SmartX, 18.496
1623929042.596, lauv-roald, SmartX, 18.464
1623929043.096, lauv-roald, SmartX, 18.419
1623929043.596, lauv-roald, SmartX, 18.385
1623929044.096, lauv-roald, SmartX, 18.363
1623929044.596, lauv-roald, SmartX, 18.352
1623929045.096, lauv-roald, SmartX, 18.415
1623929045.596, lauv-roald, SmartX, 18.482
1623929046.095, lauv-roald, SmartX, 18.506
1623929046.596, lauv-roald, SmartX, 18.531
1623929047.096, lauv-roald, SmartX, 18.533
1623929047.595, lauv-roald, SmartX, 18.565
1623929048.095, lauv-roald, SmartX, 18.673
1623929048.596, lauv-roald, SmartX, 18.702
1623929049.095, lauv-roald, SmartX, 18.723
1623929049.596, lauv-roald, SmartX, 18.789
1623929050.096, lauv-roald, SmartX, 18.818
1623929050.595, lauv-roald, SmartX, 18.826
1623929051.095, lauv-roald, SmartX, 18.827
1623929051.595, lauv-roald, SmartX, 18.745
1623929052.095, lauv-roald, SmartX, 18.907
1623929052.595, lauv-roald, SmartX, 18.663
1623929053.095, lauv-roald, SmartX, 18.694
1623929053.595, lauv-roald, SmartX, 18.536
1623929054.095, lauv-roald, SmartX, 18.473
1623929054.595, lauv-roald, SmartX, 18.434
1623929055.095, lauv-roald, SmartX, 18.423
1623929055.595, lauv-roald, SmartX, 18.553
1623929056.095, lauv-roald, SmartX, 18.673
1623929056.595, lauv-roald, SmartX, 18.826
1623929057.095, lauv-roald, SmartX, 18.793
1623929057.595, lauv-roald, SmartX, 18.817
1623929058.095, lauv-roald, SmartX, 18.729
1623929058.595, lauv-roald, SmartX, 18.629
1623929059.095, lauv-roald, SmartX, 18.557
1623929059.595, lauv-roald, SmartX, 18.494
1623929060.095, lauv-roald, SmartX, 18.450
1623929060.595, lauv-roald, SmartX, 18.465
1623929061.095, lauv-roald, SmartX, 18.478
1623929061.595, lauv-roald, SmartX, 18.449
1623929062.095, lauv-roald, SmartX, 18.516
1623929062.595, lauv-roald, SmartX, 18.412
1623929063.095, lauv-roald, SmartX, 18.346
1623929063.594, lauv-roald, SmartX, 18.253
1623929064.094, lauv-roald, SmartX, 18.135
1623929064.595, lauv-roald, SmartX, 18.062
1623929065.094, lauv-roald, SmartX, 18.015
1623929065.594, lauv-roald, SmartX, 17.887
1623929066.094, lauv-roald, SmartX, 17.883
1623929066.594, lauv-roald, SmartX, 17.865
1623929067.094, lauv-roald, SmartX, 17.786
1623929067.594, lauv-roald, SmartX, 17.775
1623929068.094, lauv-roald, SmartX, 17.762
1623929068.594, lauv-roald, SmartX, 17.744
1623929069.094, lauv-roald, SmartX, 17.714
1623929069.594, lauv-roald, SmartX, 17.648
1623929070.094, lauv-roald, SmartX, 17.687
1623929070.594, lauv-roald, SmartX, 17.694
1623929071.094, lauv-roald, SmartX, 17.660
1623929071.594, lauv-roald, SmartX, 17.666
1623929072.094, lauv-roald, SmartX, 17.646
1623929072.594, lauv-roald, SmartX, 17.655
1623929073.094, lauv-roald, SmartX, 17.639
1623929073.594, lauv-roald, SmartX, 17.625
1623929074.094, lauv-roald, SmartX, 17.625
1623929074.594, lauv-roald, SmartX, 17.601
1623929075.094, lauv-roald, SmartX, 17.602
1623929075.594, lauv-roald, SmartX, 17.589
1623929076.094, lauv-roald, SmartX, 17.604
1623929076.594, lauv-roald, SmartX, 17.608
1623929077.094, lauv-roald, SmartX, 17.597
1623929077.594, lauv-roald, SmartX, 17.580
1623929078.093, lauv-roald, SmartX, 17.579
1623929078.593, lauv-roald, SmartX, 17.597
1623929079.094, lauv-roald, SmartX, 17.603
1623929079.593, lauv-roald, SmartX, 17.597
1623929080.095, lauv-roald, SmartX, 17.597
1623929080.593, lauv-roald, SmartX, 17.592
1623929081.093, lauv-roald, SmartX, 17.575
1623929081.593, lauv-roald, SmartX, 17.563
1623929082.093, lauv-roald, SmartX, 17.575
1623929082.593, lauv-roald, SmartX, 17.572
1623929083.093, lauv-roald, SmartX, 17.564
1623929083.593, lauv-roald, SmartX, 17.573
1623929084.093, lauv-roald, SmartX, 17.573
1623929084.593, lauv-roald, SmartX, 17.581
1623929085.093, lauv-roald, SmartX, 17.574
1623929085.593, lauv-roald, SmartX, 17.578
1623929086.093, lauv-roald, SmartX, 17.568
1623929086.593, lauv-roald, SmartX, 17.567
1623929087.093, lauv-roald, SmartX, 17.566
1623929087.593, lauv-roald, SmartX, 17.564
1623929088.093, lauv-roald, SmartX, 17.563
1623929088.593, lauv-roald, SmartX, 17.571
1623929089.093, lauv-roald, SmartX, 17.567
1623929089.593, lauv-roald, SmartX, 17.569
1623929090.093, lauv-roald, SmartX, 17.565
1623929090.593, lauv-roald, SmartX, 17.565
1623929091.092, lauv-roald, SmartX, 17.562
1623929091.593, lauv-roald, SmartX, 17.563
1623929092.093, lauv-roald, SmartX, 17.560
1623929092.593, lauv-roald, SmartX, 17.566
1623929093.093, lauv-roald, SmartX, 17.561
1623929093.592, lauv-roald, SmartX, 17.558
1623929094.092, lauv-roald, SmartX, 17.557
1623929094.592, lauv-roald, SmartX, 17.557
1623929095.092, lauv-roald, SmartX, 17.557
1623929095.592, lauv-roald, SmartX, 17.555
1623929096.092, lauv-roald, SmartX, 17.552
1623929096.592, lauv-roald, SmartX, 17.555
1623929097.092, lauv-roald, SmartX, 17.554
1623929097.592, lauv-roald, SmartX, 17.553
1623929098.092, lauv-roald, SmartX, 17.554
1623929098.592, lauv-roald, SmartX, 17.552
1623929099.092, lauv-roald, SmartX, 17.551
1623929099.592, lauv-roald, SmartX, 17.550
1623929100.092, lauv-roald, SmartX, 17.547
1623929100.592, lauv-roald, SmartX, 17.543
1623929101.092, lauv-roald, SmartX, 17.543
1623929101.592, lauv-roald, SmartX, 17.545
1623929102.092, lauv-roald, SmartX, 17.539
1623929102.592, lauv-roald, SmartX, 17.542
1623929103.092, lauv-roald, SmartX, 17.538
1623929103.592, lauv-roald, SmartX, 17.537
1623929104.092, lauv-roald, SmartX, 17.538
1623929104.592, lauv-roald, SmartX, 17.540
1623929105.092, lauv-roald, SmartX, 17.539
1623929105.592, lauv-roald, SmartX, 17.536
1623929106.092, lauv-roald, SmartX, 17.537
1623929106.592, lauv-roald, SmartX, 17.541
1623929107.092, lauv-roald, SmartX, 17.535
1623929107.592, lauv-roald, SmartX, 17.544
1623929108.092, lauv-roald, SmartX, 17.535
1623929108.592, lauv-roald, SmartX, 17.531
1623929109.092, lauv-roald, SmartX, 17.536
1623929109.591, lauv-roald, SmartX, 17.535
1623929110.091, lauv-roald, SmartX, 17.534
1623929110.591, lauv-roald, SmartX, 17.534
1623929111.091, lauv-roald, SmartX, 17.535
1623929111.591, lauv-roald, SmartX, 17.531
1623929112.091, lauv-roald, SmartX, 17.531
1623929112.591, lauv-roald, SmartX, 17.530
1623929113.091, lauv-roald, SmartX, 17.530
1623929113.591, lauv-roald, SmartX, 17.527
1623929114.091, lauv-roald, SmartX, 17.524
1623929114.591, lauv-roald, SmartX, 17.527
1623929115.091, lauv-roald, SmartX, 17.529
1623929115.591, lauv-roald, SmartX, 17.525
1623929116.091, lauv-roald, SmartX, 17.523
1623929116.591, lauv-roald, SmartX, 17.523
1623929117.091, lauv-roald, SmartX, 17.522
1623929117.591, lauv-roald, SmartX, 17.518
1623929118.091, lauv-roald, SmartX, 17.513
1623929118.591, lauv-roald, SmartX, 17.516
1623929119.091, lauv-roald, SmartX, 17.522
1623929119.591, lauv-roald, SmartX, 17.519
1623929120.091, lauv-roald, SmartX, 17.520
1623929120.591, lauv-roald, SmartX, 17.521
1623929121.091, lauv-roald, SmartX, 17.520
1623929121.591, lauv-roald, SmartX, 17.521
1623929122.091, lauv-roald, SmartX, 17.519
1623929122.590, lauv-roald, SmartX, 17.519
1623929123.090, lauv-roald, SmartX, 17.514
1623929123.590, lauv-roald, SmartX, 17.515
1623929124.090, lauv-roald, SmartX, 17.514
1623929124.590, lauv-roald, SmartX, 17.511
1623929125.090, lauv-roald, SmartX, 17.509
1623929125.590, lauv-roald, SmartX, 17.508
1623929126.090, lauv-roald, SmartX, 17.505
1623929126.590, lauv-roald, SmartX, 17.506
1623929127.090, lauv-roald, SmartX, 17.509
1623929127.590, lauv-roald, SmartX, 17.507
1623929128.090, lauv-roald, SmartX, 17.507
1623929128.590, lauv-roald, SmartX, 17.507
1623929129.090, lauv-roald, SmartX, 17.508
1623929129.590, lauv-roald, SmartX, 17.508
1623929130.090, lauv-roald, SmartX, 17.508
1623929130.590, lauv-roald, SmartX, 17.504
1623929131.090, lauv-roald, SmartX, 17.505
1623929131.590, lauv-roald, SmartX, 17.502
