timestamp, system, entity , value (m)
1623928886.652, lauv-roald, DVL, 0.000
1623928886.851, lauv-roald, DVL, 0.000
1623928887.106, lauv-roald, SmartX, 0.159
1623928887.251, lauv-roald, DVL, 0.000
1623928887.452, lauv-roald, DVL, 0.000
1623928887.606, lauv-roald, SmartX, 0.169
1623928887.650, lauv-roald, DVL, 0.000
1623928888.050, lauv-roald, DVL, 0.000
1623928888.106, lauv-roald, SmartX, 0.159
1623928888.251, lauv-roald, DVL, 0.000
1623928888.449, lauv-roald, DVL, 0.000
1623928888.605, lauv-roald, SmartX, 0.159
1623928888.852, lauv-roald, DVL, 0.000
1623928889.051, lauv-roald, DVL, 0.000
1623928889.105, lauv-roald, SmartX, 0.149
1623928889.250, lauv-roald, DVL, 0.000
1623928889.605, lauv-roald, SmartX, 0.159
1623928889.650, lauv-roald, DVL, 0.000
1623928889.850, lauv-roald, DVL, 0.000
1623928890.051, lauv-roald, DVL, 0.000
1623928890.105, lauv-roald, SmartX, 0.149
1623928890.452, lauv-roald, DVL, 0.000
1623928890.606, lauv-roald, SmartX, 0.179
1623928890.653, lauv-roald, DVL, 0.000
1623928890.854, lauv-roald, DVL, 0.000
1623928891.106, lauv-roald, SmartX, 0.189
1623928891.250, lauv-roald, DVL, 0.000
1623928891.454, lauv-roald, DVL, 0.000
1623928891.606, lauv-roald, SmartX, 0.169
1623928891.654, lauv-roald, DVL, 0.000
1623928892.052, lauv-roald, DVL, 0.000
1623928892.105, lauv-roald, SmartX, 0.169
1623928892.253, lauv-roald, DVL, 0.000
1623928892.451, lauv-roald, DVL, 0.000
1623928892.606, lauv-roald, SmartX, 0.159
1623928892.854, lauv-roald, DVL, 0.000
1623928893.052, lauv-roald, DVL, 0.000
1623928893.105, lauv-roald, SmartX, 0.159
1623928893.250, lauv-roald, DVL, 0.000
1623928893.606, lauv-roald, SmartX, 0.169
1623928893.650, lauv-roald, DVL, 0.000
1623928893.850, lauv-roald, DVL, 0.000
1623928894.058, lauv-roald, DVL, 0.000
1623928894.105, lauv-roald, SmartX, 0.169
1623928894.449, lauv-roald, DVL, 0.000
1623928894.606, lauv-roald, SmartX, 0.169
1623928894.650, lauv-roald, DVL, 0.000
1623928894.851, lauv-roald, DVL, 0.000
1623928895.105, lauv-roald, SmartX, 0.169
1623928895.251, lauv-roald, DVL, 0.000
1623928895.448, lauv-roald, DVL, 0.000
1623928895.606, lauv-roald, SmartX, 0.179
1623928895.650, lauv-roald, DVL, 0.000
1623928896.051, lauv-roald, DVL, 0.000
1623928896.105, lauv-roald, SmartX, 0.189
1623928896.249, lauv-roald, DVL, 0.000
1623928896.451, lauv-roald, DVL, 0.000
1623928896.605, lauv-roald, SmartX, 0.169
1623928896.854, lauv-roald, DVL, 0.000
1623928897.051, lauv-roald, DVL, 0.000
1623928897.105, lauv-roald, SmartX, 0.179
1623928897.250, lauv-roald, DVL, 0.000
1623928897.605, lauv-roald, SmartX, 0.189
1623928897.649, lauv-roald, DVL, 0.000
1623928897.852, lauv-roald, DVL, 0.000
1623928898.053, lauv-roald, DVL, 0.000
1623928898.105, lauv-roald, SmartX, 0.169
1623928898.450, lauv-roald, DVL, 0.000
1623928898.605, lauv-roald, SmartX, 0.189
1623928898.652, lauv-roald, DVL, 0.000
1623928898.851, lauv-roald, DVL, 0.000
1623928899.106, lauv-roald, SmartX, 0.199
1623928899.252, lauv-roald, DVL, 0.000
1623928899.452, lauv-roald, DVL, 0.000
1623928899.605, lauv-roald, SmartX, 0.199
1623928899.650, lauv-roald, DVL, 0.000
1623928900.052, lauv-roald, DVL, 0.000
1623928900.105, lauv-roald, SmartX, 0.199
1623928900.250, lauv-roald, DVL, 0.000
1623928900.451, lauv-roald, DVL, 0.000
1623928900.605, lauv-roald, SmartX, 0.189
1623928900.854, lauv-roald, DVL, 0.000
1623928901.051, lauv-roald, DVL, 0.000
1623928901.105, lauv-roald, SmartX, 0.219
1623928901.253, lauv-roald, DVL, 0.000
1623928901.605, lauv-roald, SmartX, 0.219
1623928901.653, lauv-roald, DVL, 0.000
1623928901.852, lauv-roald, DVL, 0.000
1623928902.053, lauv-roald, DVL, 0.000
1623928902.105, lauv-roald, SmartX, 0.219
1623928902.451, lauv-roald, DVL, 0.000
1623928902.605, lauv-roald, SmartX, 0.199
1623928902.649, lauv-roald, DVL, 0.000
1623928902.852, lauv-roald, DVL, 0.000
1623928903.105, lauv-roald, SmartX, 0.219
1623928903.250, lauv-roald, DVL, 0.000
1623928903.451, lauv-roald, DVL, 0.000
1623928903.605, lauv-roald, SmartX, 0.239
1623928903.650, lauv-roald, DVL, 0.000
1623928904.050, lauv-roald, DVL, 0.000
1623928904.105, lauv-roald, SmartX, 0.249
1623928904.250, lauv-roald, DVL, 0.000
1623928904.451, lauv-roald, DVL, 0.000
1623928904.606, lauv-roald, SmartX, 0.259
1623928904.855, lauv-roald, DVL, 0.000
1623928905.052, lauv-roald, DVL, 0.000
1623928905.105, lauv-roald, SmartX, 0.239
1623928905.252, lauv-roald, DVL, 0.000
1623928905.605, lauv-roald, SmartX, 0.279
1623928905.650, lauv-roald, DVL, 0.000
1623928905.852, lauv-roald, DVL, 0.000
1623928906.053, lauv-roald, DVL, 0.000
1623928906.105, lauv-roald, SmartX, 0.259
1623928906.450, lauv-roald, DVL, 0.000
1623928906.605, lauv-roald, SmartX, 0.298
1623928906.652, lauv-roald, DVL, 0.000
1623928906.849, lauv-roald, DVL, 0.000
1623928907.105, lauv-roald, SmartX, 0.328
1623928907.252, lauv-roald, DVL, 0.006
1623928907.453, lauv-roald, DVL, 0.012
1623928907.604, lauv-roald, SmartX, 0.358
1623928907.650, lauv-roald, DVL, 0.002
1623928908.054, lauv-roald, DVL, 0.021
1623928908.105, lauv-roald, SmartX, 0.368
1623928908.250, lauv-roald, DVL, 0.027
1623928908.451, lauv-roald, DVL, 0.023
1623928908.605, lauv-roald, SmartX, 0.378
1623928908.850, lauv-roald, DVL, 0.041
1623928909.051, lauv-roald, DVL, 0.058
1623928909.105, lauv-roald, SmartX, 0.388
1623928909.254, lauv-roald, DVL, 0.062
1623928909.605, lauv-roald, SmartX, 0.388
1623928909.652, lauv-roald, DVL, 0.054
1623928909.853, lauv-roald, DVL, 0.059
1623928910.052, lauv-roald, DVL, 0.052
1623928910.105, lauv-roald, SmartX, 0.368
1623928910.451, lauv-roald, DVL, 0.044
1623928910.605, lauv-roald, SmartX, 0.338
1623928910.650, lauv-roald, DVL, 0.028
1623928910.853, lauv-roald, DVL, 0.031
1623928911.106, lauv-roald, SmartX, 0.358
1623928911.250, lauv-roald, DVL, 0.020
1623928911.452, lauv-roald, DVL, 0.012
1623928911.605, lauv-roald, SmartX, 0.358
1623928911.651, lauv-roald, DVL, 0.009
1623928912.052, lauv-roald, DVL, 0.009
1623928912.105, lauv-roald, SmartX, 0.368
1623928912.252, lauv-roald, DVL, 0.014
1623928912.451, lauv-roald, DVL, 0.018
1623928912.605, lauv-roald, SmartX, 0.378
1623928912.852, lauv-roald, DVL, 0.018
1623928913.052, lauv-roald, DVL, 0.021
1623928913.105, lauv-roald, SmartX, 0.338
1623928913.252, lauv-roald, DVL, 0.011
1623928913.605, lauv-roald, SmartX, 0.348
1623928913.651, lauv-roald, DVL, 0.007
1623928913.852, lauv-roald, DVL, 0.018
1623928914.053, lauv-roald, DVL, 0.016
1623928914.105, lauv-roald, SmartX, 0.368
1623928914.454, lauv-roald, DVL, 0.024
1623928914.606, lauv-roald, SmartX, 0.348
1623928914.652, lauv-roald, DVL, 0.005
1623928914.851, lauv-roald, DVL, 0.000
1623928915.106, lauv-roald, SmartX, 0.358
1623928915.255, lauv-roald, DVL, 0.014
1623928915.453, lauv-roald, DVL, 0.001
1623928915.605, lauv-roald, SmartX, 0.348
1623928915.654, lauv-roald, DVL, 0.000
1623928916.051, lauv-roald, DVL, 0.005
1623928916.105, lauv-roald, SmartX, 0.378
1623928916.254, lauv-roald, DVL, 0.009
1623928916.452, lauv-roald, DVL, 0.011
1623928916.605, lauv-roald, SmartX, 0.388
1623928916.854, lauv-roald, DVL, 0.039
1623928917.053, lauv-roald, DVL, 0.048
1623928917.104, lauv-roald, SmartX, 0.438
1623928917.252, lauv-roald, DVL, 0.054
1623928917.605, lauv-roald, SmartX, 0.438
1623928917.654, lauv-roald, DVL, 0.052
1623928917.855, lauv-roald, DVL, 0.051
1623928918.051, lauv-roald, DVL, 0.042
1623928918.104, lauv-roald, SmartX, 0.388
1623928918.452, lauv-roald, DVL, 0.034
1623928918.604, lauv-roald, SmartX, 0.408
1623928918.651, lauv-roald, DVL, 0.023
1623928918.854, lauv-roald, DVL, 0.030
1623928919.104, lauv-roald, SmartX, 0.398
