,depths
165,"[944.3117644437649, 1103.1964622155767, 1631212598.5233417, 2.3059783216678733]"
166,"[951.2868699397729, 1082.3713406320064, 1631212619.5233014, 3.017839930876337]"
167,"[971.2463114664708, 1072.3312460399543, 1631212638.5232606, 5.562456695419369]"
168,"[993.0046600260902, 1080.9822185433163, 1631212661.5233846, 3.34119722608364]"
169,"[1012.7133015900696, 1101.2596042171567, 1631212722.5239272, 0.4301615330305967]"
170,"[1044.4409775544282, 1119.6914060718727, 1631212737.5231202, 1.6961142366582698]"
171,"[1058.2095139232242, 1105.3998070851762, 1631212748.523096, 2.366759023281059]"
172,"[1073.0627970443586, 1090.6827308358347, 1631212763.5231802, 5.208784955920596]"
173,"[1087.6819420383301, 1076.1668885919287, 1631212776.5231347, 2.889834562937419]"
174,"[1102.7742231082173, 1061.163506246004, 1631212794.5232248, 4.555826837366277]"
175,"[1119.453626625208, 1044.5667433145395, 1631212812.5232227, 0.0]"
176,"[1133.0312240535786, 1037.0818531758966, 1631212823.5239096, 0.0]"
177,"[1143.1162871591878, 1046.7061233714965, 1631212835.5230746, 0.0]"
178,"[1153.8733683488865, 1051.4142795844293, 1631212846.5230818, 0.0]"
179,"[1164.2148212075444, 1045.6711684131549, 1631212856.5230198, 0.0]"
180,"[1173.461791413145, 1050.0034373359786, 1631212867.5229447, 2.517589016996249]"
181,"[1170.426831400394, 1058.3874625672515, 1631212877.5230095, 0.0]"
182,"[1172.98453662271, 1051.9820573983088, 1631212889.5230875, 0.0]"
183,"[1185.8635869008244, 1051.9548375153229, 1631212899.523006, 3.156532463401255]"
184,"[1195.1381703830803, 1061.3083672374655, 1631212919.523307, 0.0]"
185,"[1201.4999919801176, 1072.989843130118, 1631212938.523335, 0.0]"
186,"[1215.7292418228014, 1064.0473609815078, 1631212950.5231237, 0.0]"
187,"[1225.2959585288174, 1060.3052971965133, 1631212962.5231686, 1.882962952960621]"
188,"[1224.2244271658255, 1047.968455293097, 1631212978.523048, 0.0]"
189,"[1238.8171363382394, 1040.0645166707102, 1631212992.5231214, 0.0]"
190,"[1253.1888511935335, 1040.2375334713738, 1631213002.52304, 0.0]"
191,"[1264.6083061708423, 1040.2203974458512, 1631213011.5230234, 0.0]"
192,"[1272.4283763411693, 1036.6059978324079, 1631213022.5230615, 0.0]"
193,"[1265.5660892128856, 1032.8248028217558, 1631213032.523041, 0.0]"
194,"[1267.7055437931763, 1040.610803607578, 1631213041.523019, 0.0]"
195,"[1276.8395221259357, 1040.9289822124338, 1631213048.5229845, 0.0]"
196,"[1285.8486769103383, 1040.9132734973525, 1631213056.523023, 0.0]"
197,"[1294.8579690535305, 1042.8078748666903, 1631213064.5229607, 0.0]"
198,"[1302.252379489422, 1046.0676419117644, 1631213073.5229864, 0.0]"
199,"[1303.2550716412618, 1035.9362174983728, 1631213134.524187, 0.0]"
200,"[1292.3986142119347, 991.2659940106324, 1631213145.5231109, 0.0]"
201,"[1279.919321871004, 989.4954063947911, 1631213152.523011, 0.0]"
202,"[1274.7997972868982, 980.1478760227513, 1631213160.5230334, 0.0]"
203,"[1284.2287326931507, 978.2264025015446, 1631213168.5229602, 0.0]"
204,"[1286.9299530863414, 969.6313907234521, 1631213176.5230033, 0.0]"
205,"[1295.0531605362473, 967.2273167149617, 1631213182.5229218, 0.0]"
206,"[1302.5466759184828, 964.3864818235257, 1631213190.5230389, 0.0]"
207,"[1298.2165679414477, 963.2765391322886, 1631213198.5230162, 0.0]"
