,depths
127,"[674.8963034104129, 1072.957211956184, 1631198351.1049168, 0.6044098680669612]"
128,"[683.9992597858509, 1088.225153291863, 1631198366.1048489, 2.7483117321524957]"
129,"[675.9515915548247, 1100.5680828359125, 1631198384.1050115, 3.006959533149546]"
130,"[665.9171381275238, 1096.16639495253, 1631198400.1049228, 2.8371639962148185]"
131,"[672.6458358205948, 1102.7034045213218, 1631198419.1049392, 3.5582453482078784]"
132,"[663.7471316933171, 1119.4213675232102, 1631198435.1049144, 3.059307959946719]"
133,"[655.8301550323213, 1132.4963682007835, 1631198454.1049733, 3.686164107587602]"
134,"[637.3067668556841, 1137.354659939948, 1631198470.1049316, 4.038271836560181]"
135,"[638.128452531135, 1148.563651642441, 1631198492.1050186, 2.539543678062131]"
136,"[646.866527093921, 1143.803702957219, 1631198514.1050196, 3.4334560921697905]"
137,"[632.2985945026227, 1154.4044324229042, 1631198535.1050394, 1.0252728462219238]"
138,"[640.9528027312701, 1177.4652810430744, 1631198596.1056592, 3.0761495422233236]"
139,"[647.2043840097313, 1195.484131297623, 1631198613.104881, 4.769712450829419]"
140,"[639.5334790536612, 1210.1284514518577, 1631198624.1047544, 2.1138892510924676]"
141,"[650.3058706330202, 1215.9767230354357, 1631198635.104754, 3.398669481277466]"
142,"[640.3402329992202, 1228.5884585077274, 1631198648.10471, 4.68437417348226]"
143,"[632.8739266356075, 1248.2622922753644, 1631198668.1050403, 0.0]"
144,"[626.4519829710001, 1271.464446478653, 1631198688.1049793, 3.4200236098934904]"
145,"[609.7583875934164, 1288.5430766551233, 1631198706.1049209, 2.1259301985153045]"
146,"[594.8113682032931, 1304.1450511617722, 1631198723.1048474, 2.799070423299616]"
147,"[576.6649162671096, 1313.2249901607922, 1631198742.1049771, 3.3807680889813585]"
148,"[557.7811301826599, 1318.5183826106718, 1631198758.104874, 3.0722467875239823]"
149,"[550.2420327146478, 1337.1413182228614, 1631198778.1049488, 3.172354887230228]"
150,"[559.4045340145019, 1352.326494252244, 1631198796.1049678, 3.1198530901562083]"
151,"[567.0249186748516, 1348.0071275965745, 1631198817.1050067, 3.04856629684718]"
152,"[547.7460031080637, 1354.7645305947997, 1631198835.1049614, 3.1947829687234126]"
153,"[532.1275241494039, 1371.3459584111167, 1631198855.1049314, 2.8991222489963877]"
154,"[516.4033025737963, 1387.8469850446136, 1631198873.1049333, 3.813880494748703]"
155,"[516.1685104510375, 1400.2334794180265, 1631198896.1050606, 5.168988703176229]"
156,"[529.3504370861039, 1395.7106388666296, 1631198911.1048515, 4.849180394952947]"
157,"[519.3711174327177, 1402.5767243520004, 1631198928.104888, 4.880633662445376]"
158,"[514.0608957992944, 1416.1792957260336, 1631198943.104859, 5.048606605240793]"
159,"[495.25422433750055, 1416.154317885445, 1631198960.1049166, 4.991610801581181]"
160,"[473.0875690729958, 1423.4935458679151, 1631199021.1057405, 5.928337630298403]"
161,"[448.58273696073024, 1422.0777164492276, 1631199041.1049418, 2.38856341832816]"
162,"[430.01161546309896, 1401.7022546335857, 1631199057.104894, 1.149129275721733]"
163,"[415.6066629804433, 1386.792381948587, 1631199068.1047819, 1.7445251941680908]"
164,"[402.9332047653414, 1379.4492700859, 1631199079.1048393, 2.835970675102388]"
165,"[387.28872270185724, 1385.9215792151979, 1631199095.1048956, 2.0083023984022814]"
166,"[383.5940542499493, 1396.4687930787065, 1631199111.1049032, 3.5898317694664]"
167,"[385.6985034584901, 1382.0486142833395, 1631199131.1049984, 5.0098650575888275]"
168,"[369.44481595693617, 1372.2100584493467, 1631199144.1047916, 4.550544382345796]"
169,"[353.699573937332, 1378.5455063943707, 1631199161.1048985, 4.347616951875013]"
170,"[340.05173781316785, 1393.1683833223324, 1631199177.1048765, 4.190611456379746]"
171,"[325.9572022681384, 1408.1093592097081, 1631199195.10496, 3.4010516368981563]"
172,"[310.6776442387718, 1424.3298450188229, 1631199214.1049776, 3.7284760944771045]"
173,"[294.60350172920386, 1441.4139693594348, 1631199234.104962, 4.2140004984056105]"
174,"[279.80022274262933, 1457.1661140161832, 1631199250.1048865, 2.0514933846213603]"
175,"[267.86953378668875, 1469.8773400954374, 1631199263.1048012, 1.6243016454908583]"
176,"[261.4865807493502, 1484.1006653071342, 1631199278.1048782, 2.750261173103795]"
177,"[255.71168835210412, 1493.041742401037, 1631199296.1049283, 2.7384113314175846]"
178,"[242.075424540021, 1478.9973407602563, 1631199312.1049237, 3.3230902113095677]"
179,"[226.7110773545948, 1462.9708527199014, 1631199333.105018, 2.9945333612085596]"
180,"[207.7681232660283, 1452.6009403162082, 1631199351.1049154, 2.7055914907744434]"
181,"[188.44370879901237, 1459.8669282493127, 1631199370.1049738, 2.234967540008853]"
182,"[184.8063120590197, 1470.264864150874, 1631199388.1049592, 0.8568920679766723]"
183,"[228.50415783277228, 1409.5285256742284, 1631199462.1047657, 1.9000996375324748]"
184,"[216.25326610534682, 1397.7335907788, 1631199471.1046984, 1.6919716054742986]"
185,"[204.38681285836026, 1385.8167289150367, 1631199482.1047559, 2.8468225194950296]"
186,"[192.33010389481328, 1373.6965049373518, 1631199493.1048098, 1.9254236413974954]"
187,"[177.2510485633489, 1366.262275765117, 1631199507.1048114, 3.0892867319511645]"
188,"[160.23860278996156, 1371.6368571177568, 1631199521.1049185, 3.046476943324311]"
189,"[158.30453765365382, 1380.0166110889338, 1631199540.1050258, 2.921499136722449]"
190,"[162.97290533084072, 1364.8714327227856, 1631199557.104919, 2.973198664308798]"
191,"[144.44613071666535, 1356.2525769237232, 1631199576.1049623, 2.9660161709544632]"
192,"[124.88580326360723, 1362.4197717181637, 1631199593.1049, 1.276617897881402]"
193,"[111.76982106903333, 1375.820165327967, 1631199607.104855, 2.776620924472809]"
194,"[107.29830623088985, 1388.4027160822393, 1631199621.1048274, 2.8261472787519897]"
195,"[114.46314246959338, 1389.8563434549471, 1631199641.1049926, 1.8988885283470154]"
196,"[103.15070900616153, 1386.5731899915734, 1631199658.1049216, 2.263421053838248]"
197,"[103.38815528614747, 1406.2288069083631, 1631199675.1049016, 0.6319924171524819]"
198,"[98.45036503513832, 1423.4890834397213, 1631199690.1048932, 0.0]"
199,"[90.43558742078659, 1435.1240139360937, 1631199700.104752, 1.2115935713353783]"
200,"[88.05594058133808, 1445.605051027056, 1631199709.104726, 0.5321230503043743]"
201,"[85.88750823376836, 1453.8094370994222, 1631199721.1047902, 1.5901076257830917]"
202,"[95.45468840110881, 1457.8757459182193, 1631199731.1047368, 7.0]"
203,"[87.45774630108373, 1473.7454521618058, 1631199754.1050825, 0.7082159982787238]"
204,"[76.37657809676531, 1495.4324088704445, 1631199775.1049526, 4.447033842404683]"
205,"[85.28665784746443, 1518.3502714143128, 1631199798.1050725, 6.114650378323565]"
206,"[100.27205356000323, 1533.0121359623397, 1631199810.1047654, 4.700526143565322]"
207,"[110.12762688360066, 1542.8840947470362, 1631199915.1057131, 2.9775294065475464]"
208,"[145.72915795150448, 1588.305946502453, 1631199937.1049676, 0.46776515004610775]"
209,"[129.50368783934783, 1595.634005876001, 1631199956.104987, 3.571607588517545]"
210,"[143.7759800702981, 1597.6145415107173, 1631199976.10501, 4.1041543781757355]"
211,"[150.31920744004424, 1584.660081759231, 1631199995.104959, 4.407944325244788]"
212,"[168.16990719218126, 1602.6596453590541, 1631200017.1050887, 4.389142005130498]"
213,"[189.0667779000713, 1613.9328850156378, 1631200036.1047418, 4.279636520327944]"
214,"[210.36107243472716, 1621.2655889960452, 1631200057.105026, 3.630294019525701]"
215,"[231.3062980065251, 1631.9534806152108, 1631200078.1049764, 4.412622665516054]"
216,"[254.74305741031145, 1640.5631002242822, 1631200102.1051033, 4.295981422819272]"
217,"[273.1088794182825, 1659.6096213992864, 1631200122.1049812, 3.7618901380384813]"
218,"[291.26084738459735, 1677.991872943294, 1631200145.105101, 4.555583933989206]"
219,"[308.5521656146289, 1695.5310668435409, 1631200163.104934, 4.72690236327624]"
220,"[327.57127661217606, 1704.6437329073353, 1631200183.1050062, 4.557413742999838]"
221,"[346.9821191897347, 1709.733146624253, 1631200199.1048844, 4.695351174383452]"
222,"[363.76498213560996, 1718.351469517908, 1631200217.1049376, 4.054061041937935]"
223,"[374.7537966370182, 1724.477221049522, 1631200234.1049325, 3.5646606575358994]"
224,"[372.94827183266193, 1735.9660931698018, 1631200253.1049628, 3.2380817875717627]"
225,"[394.85547805009605, 1735.879891913409, 1631200272.1049533, 4.498384277025858]"
226,"[407.7030792344789, 1736.023971330261, 1631200333.1052756, 0.5057728808335584]"
227,"[426.228348806602, 1733.8096115105802, 1631200346.1047645, 1.4632717133170425]"
228,"[443.7132426054501, 1733.943550313737, 1631200356.1047966, 2.1620539222100765]"
229,"[460.70537290444395, 1739.6809686080715, 1631200369.1048295, 0.40493649003481624]"
230,"[469.4955176047618, 1756.0530705504189, 1631200382.1048002, 4.079488024567112]"
231,"[461.419521195497, 1775.3616352847503, 1631200401.1049676, 3.8589343326260344]"
232,"[449.34727900978123, 1780.9240210747769, 1631200418.104933, 4.305795366113836]"
233,"[464.24761251914776, 1778.767468690267, 1631200438.1048732, 3.919223817912015]"
234,"[473.7843444335141, 1797.850191782721, 1631200455.1049058, 4.702841621456725]"
235,"[466.6150556172184, 1817.0954103645686, 1631200474.1049817, 3.141738782025347]"
236,"[447.3902283360049, 1826.6321296188414, 1631200493.1049805, 4.312725897991296]"
237,"[425.897864867115, 1834.4379550837305, 1631200515.1050947, 4.398334828290073]"
238,"[407.0148730220199, 1845.4774544109473, 1631200532.1049576, 4.170085796202072]"
239,"[388.11817630724585, 1852.0490394658414, 1631200551.1049502, 4.5616368561080005]"
240,"[371.18731859038127, 1861.8402599074464, 1631200567.1048627, 4.460143508333148]"
241,"[353.3109770709245, 1867.9883587245213, 1631200585.104971, 4.822213148829913]"
242,"[337.37946981891645, 1877.3602821148893, 1631200600.1048477, 3.931783859175865]"
243,"[320.5235388173754, 1883.0263260449594, 1631200617.1049185, 2.3166649654658156]"
244,"[300.8863582952023, 1892.0041455890703, 1631200639.1051195, 6.322377714243802]"
245,"[276.9320340160499, 1900.5442584403218, 1631200663.1051228, 0.6283979259356104]"
246,"[254.93078727609878, 1912.4437822963448, 1631200684.1050267, 2.649150252342224]"
247,"[205.35311880736543, 1919.2740608709094, 1631200761.104873, 4.395513604987752]"
248,"[192.16485331777682, 1933.1162836856251, 1631200770.1039095, 2.72032220435865]"
249,"[180.1776159806671, 1945.3125055683486, 1631200782.1048281, 3.110481594548081]"
250,"[165.98212961663646, 1959.7722474752356, 1631200797.1048558, 3.6708802924011694]"
251,"[146.17774277160402, 1969.0996154903812, 1631200816.1049988, 2.5539255413142117]"
252,"[124.66433611660702, 1975.68102358553, 1631200834.1051238, 5.80758796858065]"
253,"[106.73937229756592, 1994.2642193782158, 1631200857.1050634, 3.0488302201935737]"
254,"[88.61928143175138, 2012.7983689581656, 1631200876.1043618, 1.2013138424266467]"
255,"[74.98059313979611, 2026.776279351295, 1631200889.1048234, 2.250463119660965]"
256,"[62.16564928808533, 2034.0026310243456, 1631200902.105109, 0.0]"
257,"[49.38944092892561, 2036.9305938775349, 1631200912.1050673, 1.5785460743037136]"
258,"[41.38494885454069, 2045.097570019821, 1631200921.104747, 1.2989457376075513]"
259,"[33.215356795334735, 2045.871425960137, 1631200936.1048636, 2.0692263296758284]"
260,"[29.1588915029883, 2031.5132974009898, 1631200949.104813, 2.8566685644063083]"
261,"[14.68299777805174, 2030.4902506857975, 1631200969.104988, 1.8657408242273812]"
262,"[-0.793989718447635, 2046.8619126829874, 1631200987.1049492, 2.275932423394136]"
263,"[-15.43634543697426, 2061.9322156082644, 1631201004.1049387, 4.06125372467619]"
264,"[-28.03326516642422, 2074.924712042618, 1631201017.104843, 3.0714701052868003]"
265,"[-40.95724799859685, 2088.2688885543143, 1631201035.1049094, 3.1509265682914043]"
266,"[-58.118067681769425, 2097.61473881015, 1631201052.1049416, 0.0]"
267,"[-73.21038715536169, 2100.4133689633472, 1631201062.1047173, 0.0]"
268,"[-81.53360848921251, 2108.9702473660996, 1631201072.1047487, 0.0]"
269,"[-89.48264837226407, 2117.2049875413, 1631201081.104748, 0.0]"
270,"[-96.56299564529483, 2124.54558050456, 1631201089.1047046, 1.88703536505651]"
271,"[-104.25616386165186, 2124.935438666929, 1631201104.1048207, 2.6443849314342844]"
