,depths
75,"[819.0020051158886, 940.7716202020442, 1631192502.1851697, 0.0]"
76,"[805.8456204345035, 956.5619667920131, 1631192521.185164, 1.4493458397460706]"
77,"[798.299949355961, 953.6974329375589, 1631192529.1851785, 0.0]"
78,"[802.3476650728496, 953.2437245577828, 1631192538.1852005, 1.540302524060914]"
79,"[796.9693352660528, 961.02463983593, 1631192546.185115, 0.0]"
80,"[788.4742811481764, 964.3333630203376, 1631192556.1851652, 0.0]"
81,"[779.160809897988, 958.7908791327853, 1631192565.1851966, 1.6694062153498332]"
82,"[765.1712802528855, 958.6991006934728, 1631192579.1853402, 1.9480860395865007]"
83,"[750.8405841469037, 962.4557231020473, 1631192591.185263, 2.308270281011408]"
84,"[741.4050134861644, 963.4510072146502, 1631192608.1853938, 4.091613131340104]"
85,"[736.7151915266224, 950.4288384767355, 1631192621.185329, 3.4965040418836804]"
86,"[721.093219113793, 956.8103486416591, 1631192639.185461, 3.9197077377878053]"
87,"[706.9532944639709, 971.5114386925337, 1631192655.1852663, 5.3811456795894745]"
88,"[699.1023369749361, 989.8384429370404, 1631192675.1854594, 0.0]"
89,"[707.0941725055203, 1010.8277329159027, 1631192695.185424, 0.0]"
90,"[720.0836775104207, 1023.2761784276676, 1631192705.1852238, 0.0]"
91,"[728.2583858980216, 1031.2486788815254, 1631192714.1851254, 0.0]"
92,"[735.9952486457393, 1038.798934190113, 1631192723.1852016, 1.8055563541975888]"
93,"[741.5039371133404, 1047.4374236702163, 1631192732.1851761, 2.0628259254224375]"
94,"[736.1248764802075, 1060.7470121578203, 1631192749.1854067, 2.5467877670972037]"
95,"[732.1887224051812, 1072.3497265580052, 1631192764.185354, 4.3239765329794455]"
96,"[754.046580784699, 1072.5203072200343, 1631192787.1856477, 3.5798444037485604]"
97,"[777.0553185423237, 1079.5819820942827, 1631192807.1854668, 1.310518008289915]"
98,"[787.095453781381, 1089.639171683484, 1631192931.1861947, 0.6051950879169232]"
99,"[817.0505829539836, 1137.2262744903544, 1631192944.1852489, 2.4507405444829153]"
100,"[805.3511028215032, 1148.9231667108531, 1631192953.1853254, 2.6956698846335363]"
101,"[792.536585053107, 1162.1215962260112, 1631192966.1852853, 1.0311244780367073]"
102,"[778.1559153788329, 1176.9425992206502, 1631192980.1853354, 1.1372565566891373]"
103,"[763.3818049179495, 1186.0068722404897, 1631192992.1852746, 1.6374273390480965]"
104,"[748.8655102266938, 1190.0539398633232, 1631193004.1852999, 1.6197040875752766]"
105,"[734.9885417217013, 1197.3472932672437, 1631193018.1853366, 1.7466391252748894]"
106,"[719.6513229305552, 1201.493710221334, 1631193031.1852977, 4.0400601751876595]"
107,"[701.6604893825971, 1208.7819820704035, 1631193052.1855164, 2.967761921160149]"
108,"[680.4391420783642, 1201.9276579333555, 1631193070.185447, 3.2829380492971403]"
109,"[663.9174569090427, 1198.107858430931, 1631193090.1854837, 3.7034474177794023]"
110,"[651.467035377494, 1202.8029746432062, 1631193107.1854005, 2.7392231322298146]"
111,"[652.0950907256026, 1183.2265594129804, 1631193124.1853828, 3.6861554721389154]"
112,"[647.2198362628192, 1165.4180134560931, 1631193140.1852157, 1.3502056779283467]"
113,"[639.2220470266363, 1151.302343212875, 1631193153.1852305, 2.8781285532797227]"
114,"[634.0153819316753, 1140.0281103108978, 1631193167.1852994, 1.822662855037535]"
115,"[618.6887439369193, 1145.7992274170276, 1631193183.185364, 1.7083747314684319]"
116,"[606.3174768908527, 1158.854558382088, 1631193197.1853068, 2.5320138028173735]"
117,"[599.4498413151837, 1175.201429883161, 1631193215.1854227, 1.943081791352744]"
118,"[600.417508153136, 1195.5425348707563, 1631193231.185383, 3.362067051608153]"
119,"[601.1169477740725, 1217.131825425728, 1631193251.1854687, 3.0483472997492007]"
120,"[601.840119352347, 1239.3045486053747, 1631193268.1853855, 3.3992154941414343]"
121,"[595.0387169797752, 1259.2667096683538, 1631193289.1854928, 3.2064241207007207]"
