timestamp, system, entity , value (m)
1625574507.660, lauv-roald, DVL, 0.067
1625574507.862, lauv-roald, DVL, 0.102
1625574507.899, lauv-roald, SmartX, 0.458
1625574508.060, lauv-roald, DVL, 0.136
1625574508.399, lauv-roald, SmartX, 0.547
1625574508.461, lauv-roald, DVL, 0.198
1625574508.661, lauv-roald, DVL, 0.231
1625574508.865, lauv-roald, DVL, 0.253
1625574508.899, lauv-roald, SmartX, 0.527
1625574509.263, lauv-roald, DVL, 0.234
1625574509.400, lauv-roald, SmartX, 0.418
1625574509.466, lauv-roald, DVL, 0.209
1625574509.664, lauv-roald, DVL, 0.149
1625574509.899, lauv-roald, SmartX, 0.249
1625574510.060, lauv-roald, DVL, 0.055
1625574510.264, lauv-roald, DVL, 0.013
1625574510.399, lauv-roald, SmartX, 0.169
1625574510.464, lauv-roald, DVL, 0.000
1625574510.862, lauv-roald, DVL, 0.000
1625574510.899, lauv-roald, SmartX, 0.249
1625574511.063, lauv-roald, DVL, 0.000
1625574511.261, lauv-roald, DVL, 0.005
1625574511.399, lauv-roald, SmartX, 0.318
1625574511.662, lauv-roald, DVL, 0.006
1625574511.863, lauv-roald, DVL, 0.011
1625574511.899, lauv-roald, SmartX, 0.338
1625574512.062, lauv-roald, DVL, 0.027
1625574512.399, lauv-roald, SmartX, 0.368
1625574512.466, lauv-roald, DVL, 0.061
1625574512.662, lauv-roald, DVL, 0.066
1625574512.860, lauv-roald, DVL, 0.056
1625574512.899, lauv-roald, SmartX, 0.388
1625574513.263, lauv-roald, DVL, 0.104
1625574513.399, lauv-roald, SmartX, 0.408
1625574513.460, lauv-roald, DVL, 0.099
1625574513.662, lauv-roald, DVL, 0.103
1625574513.899, lauv-roald, SmartX, 0.458
1625574514.063, lauv-roald, DVL, 0.149
1625574514.262, lauv-roald, DVL, 0.142
1625574514.399, lauv-roald, SmartX, 0.517
1625574514.464, lauv-roald, DVL, 0.128
1625574514.864, lauv-roald, DVL, 0.159
1625574514.899, lauv-roald, SmartX, 0.507
1625574515.063, lauv-roald, DVL, 0.142
1625574515.263, lauv-roald, DVL, 0.125
1625574515.399, lauv-roald, SmartX, 0.438
1625574515.658, lauv-roald, DVL, 0.117
1625574515.846, lauv-roald, DVL, 0.079
1625574515.899, lauv-roald, SmartX, 0.388
1625574516.048, lauv-roald, DVL, 0.055
1625574516.399, lauv-roald, SmartX, 0.338
1625574516.447, lauv-roald, DVL, 0.027
1625574516.646, lauv-roald, DVL, 0.037
1625574516.839, lauv-roald, DVL, 0.042
1625574516.899, lauv-roald, SmartX, 0.398
1625574517.261, lauv-roald, DVL, 0.109
1625574517.399, lauv-roald, SmartX, 0.428
1625574517.464, lauv-roald, DVL, 0.109
1625574517.662, lauv-roald, DVL, 0.117
1625574517.899, lauv-roald, SmartX, 0.458
1625574518.062, lauv-roald, DVL, 0.177
1625574518.256, lauv-roald, DVL, 0.195
1625574518.398, lauv-roald, SmartX, 0.517
1625574518.441, lauv-roald, DVL, 0.218
1625574518.846, lauv-roald, DVL, 0.282
1625574518.899, lauv-roald, SmartX, 0.617
1625574519.039, lauv-roald, DVL, 0.288
1625574519.248, lauv-roald, DVL, 0.330
1625574519.399, lauv-roald, SmartX, 0.607
1625574519.663, lauv-roald, DVL, 0.317
1625574519.861, lauv-roald, DVL, 0.293
1625574519.899, lauv-roald, SmartX, 0.557
1625574520.060, lauv-roald, DVL, 0.274
1625574520.399, lauv-roald, SmartX, 0.458
1625574520.458, lauv-roald, DVL, 0.182
1625574520.654, lauv-roald, DVL, 0.134
1625574520.832, lauv-roald, DVL, 0.120
1625574520.899, lauv-roald, SmartX, 0.398
1625574521.248, lauv-roald, DVL, 0.053
1625574521.399, lauv-roald, SmartX, 0.348
1625574521.448, lauv-roald, DVL, 0.033
1625574521.646, lauv-roald, DVL, 0.027
1625574521.898, lauv-roald, SmartX, 0.318
1625574522.063, lauv-roald, DVL, 0.026
1625574522.262, lauv-roald, DVL, 0.042
1625574522.398, lauv-roald, SmartX, 0.398
1625574522.463, lauv-roald, DVL, 0.049
1625574522.861, lauv-roald, DVL, 0.136
1625574522.898, lauv-roald, SmartX, 0.487
1625574523.064, lauv-roald, DVL, 0.166
1625574523.261, lauv-roald, DVL, 0.198
1625574523.398, lauv-roald, SmartX, 0.567
1625574523.655, lauv-roald, DVL, 0.269
1625574523.852, lauv-roald, DVL, 0.273
1625574523.899, lauv-roald, SmartX, 0.627
1625574524.064, lauv-roald, DVL, 0.283
1625574524.399, lauv-roald, SmartX, 0.547
1625574524.465, lauv-roald, DVL, 0.279
1625574524.662, lauv-roald, DVL, 0.225
