timestamp, system, entity , value (m/s)
1625574510.899, lauv-roald, SmartX, 1485.640
1625574511.063, lauv-roald, DVL, 1498.746
1625574511.261, lauv-roald, DVL, 1498.857
1625574511.399, lauv-roald, SmartX, 1484.660
1625574511.662, lauv-roald, DVL, 1499.085
1625574511.863, lauv-roald, DVL, 1499.194
1625574511.899, lauv-roald, SmartX, 1484.690
1625574512.062, lauv-roald, DVL, 1499.256
1625574512.399, lauv-roald, SmartX, 1485.010
1625574512.466, lauv-roald, DVL, 1499.344
1625574512.662, lauv-roald, DVL, 1499.368
1625574512.860, lauv-roald, DVL, 1499.405
1625574512.899, lauv-roald, SmartX, 1485.830
1625574513.263, lauv-roald, DVL, 1499.312
1625574513.399, lauv-roald, SmartX, 1486.910
1625574513.460, lauv-roald, DVL, 1499.277
1625574513.662, lauv-roald, DVL, 1499.191
1625574513.899, lauv-roald, SmartX, 1487.630
1625574514.063, lauv-roald, DVL, 1499.054
1625574514.262, lauv-roald, DVL, 1498.994
1625574514.399, lauv-roald, SmartX, 1488.060
1625574514.464, lauv-roald, DVL, 1498.930
1625574514.864, lauv-roald, DVL, 1498.844
1625574514.899, lauv-roald, SmartX, 1487.890
1625574515.063, lauv-roald, DVL, 1498.832
1625574515.263, lauv-roald, DVL, 1498.790
1625574515.399, lauv-roald, SmartX, 1487.260
1625574515.658, lauv-roald, DVL, 1498.791
1625574515.846, lauv-roald, DVL, 1498.823
1625574515.899, lauv-roald, SmartX, 1486.390
1625574516.048, lauv-roald, DVL, 1498.858
1625574516.399, lauv-roald, SmartX, 1485.880
1625574516.447, lauv-roald, DVL, 1498.988
1625574516.646, lauv-roald, DVL, 1499.103
1625574516.839, lauv-roald, DVL, 1499.187
1625574516.899, lauv-roald, SmartX, 1486.240
1625574517.261, lauv-roald, DVL, 1499.306
1625574517.399, lauv-roald, SmartX, 1486.880
1625574517.464, lauv-roald, DVL, 1499.357
1625574517.662, lauv-roald, DVL, 1499.369
1625574517.899, lauv-roald, SmartX, 1487.010
1625574518.062, lauv-roald, DVL, 1499.305
1625574518.256, lauv-roald, DVL, 1499.236
1625574518.398, lauv-roald, SmartX, 1487.330
1625574518.441, lauv-roald, DVL, 1499.171
1625574518.846, lauv-roald, DVL, 1498.987
1625574518.899, lauv-roald, SmartX, 1488.000
