timestamp, system, entity , validity (bitfield), x (m/s), y (m/s), z (m/s)
1625574495.265, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.70286238, 0.73459995, 0.03393188
1625574495.664, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.70386732, 0.63840485, -0.25276965
1625574495.866, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.68853617, 0.55128390, -0.21487088
1625574496.065, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.65752566, 0.48774341, -0.08619186
1625574496.465, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.58942282, 0.68252844, 0.16155000
1625574496.664, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.57086432, 0.77314287, 0.09750959
1625574496.863, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.58713472, 0.83199042, -0.07764563
1625574497.265, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.55489016, 0.63915855, -0.22316445
1625574497.463, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.51193821, 0.58591366, -0.09850185
1625574497.662, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.48518753, 0.52671731, -0.01137524
1625574498.066, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.44841957, 0.54237491, 0.00749214
1625574498.265, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.37664926, 0.53375298, 0.02528781
1625574498.463, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.34222806, 0.58263093, 0.06322097
1625574498.862, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.27315331, 0.65648204, -0.00049563
1625574499.062, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.28567648, 0.73611146, -0.04882639
1625574499.265, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.29192293, 0.70556855, -0.12090883
1625574499.666, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.31510770, 0.63444901, -0.15910058
1625574499.865, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.37117708, 0.64931005, -0.15481200
1625574500.066, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.38091540, 0.63287532, -0.16781849
1625574500.466, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.26868582, 0.50061154, -0.02179865
1625574500.663, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.26092494, 0.57011807, 0.14100744
1625574500.864, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.25642145, 0.65432948, 0.11980342
1625574501.266, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.12566841, 0.58365428, 0.06011732
1625574501.464, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.12541187, 0.56531048, 0.07353405
1625574501.664, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.06503677, 0.49810234, 0.05404945
1625574502.058, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.02988875, 0.42579880, 0.05929116
1625574502.262, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 0.96797639, 0.45172387, 0.09664439
1625574502.464, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 0.93320233, 0.45377320, 0.07772106
1625574502.864, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 0.92084879, 0.44328761, -0.00666654
1625574503.064, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 0.93947434, 0.46496016, -0.05667003
1625574503.265, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 0.97355270, 0.35975593, -0.10021495
1625574503.664, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.12741935, 0.24333984, -0.12114368
1625574503.863, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.20398831, 0.23854360, -0.09078892
1625574504.065, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.23876381, 0.25612175, -0.02815663
1625574504.459, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.27300155, 0.25839019, 0.11350207
1625574504.664, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.28853726, 0.27958643, 0.13994683
1625574504.864, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.26347625, 0.30026126, 0.11794001
1625574505.267, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.18852425, 0.28698671, -0.06749539
1625574505.468, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.19149232, 0.26171371, -0.11080480
1625574505.666, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.17693162, 0.16097364, -0.14599542
1625574506.064, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.20643210, 0.10111722, -0.14395665
1625574506.262, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.17885411, 0.07001778, -0.09288974
1625574506.462, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.13903975, 0.04905465, -0.03209301
1625574506.863, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.13519216, -0.01343690, 0.08822285
1625574507.064, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.05043256, -0.04239024, 0.06970981
1625574507.265, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.00832283, -0.02884157, 0.06186160
1625574507.663, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 0.97012830, 0.02692942, 0.08467822
1625574507.864, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 0.99121469, 0.05396704, 0.05218539
1625574508.062, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.03169894, 0.09196691, 0.01323615
1625574508.463, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.10063922, 0.09630720, 0.00168686
1625574508.664, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.14099991, 0.11373611, 0.01537120
1625574508.866, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.18415344, 0.08389351, 0.02614267
1625574509.265, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.23692727, -0.08956650, -0.01583594
1625574509.468, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.26288879, -0.18222289, -0.08707850
1625574509.665, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.28631830, -0.19883144, -0.17456935
1625574510.062, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.28593230, -0.20522425, -0.22695711
1625574510.266, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.26770997, -0.20039213, -0.13131247
1625574510.466, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.22949028, -0.21670799, 0.02466256
1625574510.864, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.16321337, -0.20317003, 0.09622377
1625574511.065, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.12146783, -0.24776645, 0.13369106
1625574511.263, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.11143565, -0.26990628, 0.09269569
1625574511.664, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.08377135, -0.30846113, -0.03643118
1625574511.864, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.08474088, -0.27354470, -0.00893557
1625574512.064, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.11392641, -0.25674343, 0.03313721
1625574512.467, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.20262146, -0.30837750, -0.01960236
1625574512.664, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.25114679, -0.34446836, 0.02477915
1625574512.863, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.26603925, -0.33344817, 0.05578586
1625574513.265, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.28800440, -0.32036468, 0.03857423
1625574513.461, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.29776251, -0.28019127, 0.03165822
1625574513.664, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.31724381, -0.29061195, 0.00378663
1625574514.065, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.37558341, -0.23607859, -0.11642377
1625574514.263, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.42368126, -0.19932449, -0.16134036
1625574514.465, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.43471670, -0.11197001, -0.16424556
1625574514.866, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.49577308, -0.15749732, 0.04146385
1625574515.065, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.53843904, -0.22895563, 0.10388843
1625574515.265, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.56230605, -0.33399186, 0.11139277
1625574515.660, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.58587742, -0.43828505, -0.00198660
1625574515.848, lauv-roald, DVL, , 1.52733707, -0.42843381, -0.01864724
1625574516.049, lauv-roald, DVL, , 1.52985275, -0.45246181, 0.06368706
1625574516.448, lauv-roald, DVL, , 1.48158097, -0.43745261, 0.17816405
1625574516.648, lauv-roald, DVL, , 1.48161030, -0.47076455, 0.16670647
1625574516.841, lauv-roald, DVL, , 1.43680239, -0.46943775, 0.07924328
