timestamp, system, entity , value (s/m)
1625574598.893, lauv-roald, SmartX, 1.627
1625574599.393, lauv-roald, SmartX, 1.603
1625574599.893, lauv-roald, SmartX, 1.622
1625574600.393, lauv-roald, SmartX, 1.723
1625574600.893, lauv-roald, SmartX, 2.084
1625574601.394, lauv-roald, SmartX, 2.214
1625574601.894, lauv-roald, SmartX, 2.221
1625574602.393, lauv-roald, SmartX, 2.047
1625574602.893, lauv-roald, SmartX, 1.704
1625574603.393, lauv-roald, SmartX, 1.578
1625574603.893, lauv-roald, SmartX, 1.609
1625574604.393, lauv-roald, SmartX, 1.888
1625574604.893, lauv-roald, SmartX, 2.129
1625574605.394, lauv-roald, SmartX, 2.267
1625574605.893, lauv-roald, SmartX, 2.352
1625574606.393, lauv-roald, SmartX, 2.313
1625574606.892, lauv-roald, SmartX, 1.982
1625574607.393, lauv-roald, SmartX, 1.559
1625574607.892, lauv-roald, SmartX, 1.480
1625574608.392, lauv-roald, SmartX, 1.513
1625574608.892, lauv-roald, SmartX, 1.631
1625574609.392, lauv-roald, SmartX, 1.674
1625574609.892, lauv-roald, SmartX, 1.786
1625574610.392, lauv-roald, SmartX, 1.949
1625574610.892, lauv-roald, SmartX, 1.977
1625574611.392, lauv-roald, SmartX, 1.897
1625574611.892, lauv-roald, SmartX, 1.829
1625574612.392, lauv-roald, SmartX, 1.802
1625574612.892, lauv-roald, SmartX, 1.897
1625574613.392, lauv-roald, SmartX, 2.071
1625574613.892, lauv-roald, SmartX, 2.193
1625574614.392, lauv-roald, SmartX, 2.160
1625574614.892, lauv-roald, SmartX, 2.059
1625574615.392, lauv-roald, SmartX, 1.919
1625574615.892, lauv-roald, SmartX, 1.603
1625574616.392, lauv-roald, SmartX, 1.433
1625574616.892, lauv-roald, SmartX, 1.473
1625574617.392, lauv-roald, SmartX, 1.629
1625574617.892, lauv-roald, SmartX, 1.800
1625574618.392, lauv-roald, SmartX, 1.993
1625574618.892, lauv-roald, SmartX, 2.159
1625574619.392, lauv-roald, SmartX, 2.279
